area_sqft,bedrooms,bathrooms,maintenance_staff,security_24x7,parking,house_age_years,location,price_in_lakhs
1620,3,3,2,0,1,3,Secunderabad,111.01
695,2,2,2,1,1,4,Hitech City,87.18
2523,4,4,1,0,2,9,Kondapur,239.27
2357,4,4,1,1,0,10,Uppal,133.82
3132,5,5,1,1,1,20,Banjara Hills,392.68
2878,5,5,0,0,2,23,Gachibowli,247.53
3396,5,5,1,1,1,9,Jubilee Hills,469.75
2278,4,4,0,1,0,7,Hitech City,290.22
1140,1,1,1,1,2,1,Uppal,71.75
1659,3,2,1,1,2,22,Manikonda,94.67
3172,5,5,1,1,2,7,Banjara Hills,381.22
1783,4,5,2,0,1,15,Hitech City,187.66
2322,4,5,0,0,1,21,Miyapur,133.51
2419,5,5,2,0,1,4,LB Nagar,152.94
3225,5,5,1,1,2,24,Kondapur,298.05
3329,5,5,1,1,2,2,Madhapur,355.98
3204,5,5,2,1,1,11,Jubilee Hills,432.24
2197,4,5,0,0,2,12,LB Nagar,111.2
3293,5,4,1,1,0,12,Secunderabad,151.16
1395,3,3,1,1,1,9,Nanakramguda,109.28
1651,3,2,1,1,0,3,Uppal,108.68
2243,4,3,0,1,1,8,Kondapur,195.3
1963,4,4,0,1,1,21,Banjara Hills,233.17
2581,5,4,2,0,1,23,Miyapur,144.54
1954,4,5,1,1,1,22,Gachibowli,208.7
2263,4,3,1,1,2,1,Manikonda,156.31
2129,3,4,1,1,0,18,Nanakramguda,164.01
2638,5,5,2,1,2,0,Jubilee Hills,373.32
2096,4,5,0,1,3,24,Uppal,92.05
2837,5,5,1,1,1,6,Nanakramguda,255.43
2008,5,4,1,1,1,16,Kondapur,206.79
2000,4,4,3,1,1,2,Uppal,78.58
1906,3,3,1,1,0,19,Banjara Hills,223.81
3280,5,4,1,1,1,19,Gachibowli,298.67
3275,5,5,1,1,2,20,Narsingi,199.26
1572,3,3,2,1,2,2,Secunderabad,99.69
2368,4,5,1,1,1,2,Miyapur,116.52
1882,4,3,1,0,2,16,Jubilee Hills,241.91
1309,3,2,2,1,2,6,Narsingi,111.43
2079,3,3,2,1,2,13,Manikonda,152.87
2034,4,3,1,1,2,16,Gachibowli,198.01
1248,1,1,2,1,2,17,Begumpet,90.53
917,3,2,1,1,1,12,Begumpet,77.98
1857,3,3,1,1,1,19,Gachibowli,191.17
1283,3,4,0,1,3,19,Miyapur,74.73
1263,2,2,3,0,1,20,Kukatpally,83.11
2598,5,5,0,1,3,17,Narsingi,193.6
2231,4,5,0,1,2,3,Hitech City,249.57
2095,4,4,0,1,1,0,Nanakramguda,217.24
1736,3,3,2,0,1,17,Jubilee Hills,228.18
2453,5,4,0,0,1,0,Kukatpally,161.86
2120,4,3,0,1,3,12,Hitech City,210.17
3089,5,5,0,0,1,19,Secunderabad,140.48
1163,2,1,0,0,1,19,Banjara Hills,129.69
1891,3,2,1,0,1,22,Jubilee Hills,254.86
2236,5,5,2,0,1,9,Jubilee Hills,315.39
1298,2,2,1,0,1,10,Begumpet,98.24
2760,5,4,1,1,1,8,Miyapur,167.17
601,2,2,2,1,2,8,Banjara Hills,89.07
1241,3,2,0,1,1,4,Nanakramguda,118.86
2867,5,4,1,1,1,0,Madhapur,255.65
2189,4,5,3,1,1,16,Hitech City,268.54
1454,2,3,1,0,1,21,Begumpet,122.99
2359,4,5,1,0,3,1,Jubilee Hills,368.2
3032,5,5,1,1,2,23,Kukatpally,217.57
2261,4,4,1,0,1,12,LB Nagar,128.42
1753,4,3,1,1,2,8,Begumpet,155.1
1676,3,2,0,1,1,3,Hitech City,183.14
2307,4,3,0,1,0,4,Hitech City,259.79
3377,5,5,0,0,3,10,LB Nagar,143.14
2295,4,5,3,1,2,23,Miyapur,129.09
2333,4,4,2,1,3,18,Jubilee Hills,277.36
2039,4,4,0,0,1,20,Banjara Hills,245.77
2894,5,5,0,1,2,2,Narsingi,248.54
1435,3,3,2,1,1,11,Secunderabad,82.17
802,1,1,0,1,1,18,Madhapur,90.85
722,2,3,0,0,2,18,Miyapur,41.16
1000,2,2,3,1,1,12,Manikonda,75.32
1366,3,3,1,1,2,6,Secunderabad,71.78
893,1,1,2,1,2,14,Jubilee Hills,130.94
2927,5,5,3,0,1,22,Miyapur,155.68
797,2,1,1,1,1,6,Nanakramguda,74.35
2530,4,4,0,0,2,7,Madhapur,216.72
3399,5,5,0,1,1,4,Begumpet,281.11
2791,5,5,2,0,2,20,LB Nagar,131.23
1208,2,2,2,1,2,13,Gachibowli,128.52
1747,3,4,2,1,1,3,Manikonda,138.07
786,1,2,0,1,2,22,Kondapur,83.63
3111,5,4,2,1,3,9,Uppal,189.17
2394,4,4,3,0,1,19,Miyapur,116.9
1259,2,2,2,1,2,14,Hitech City,135.59
3411,5,4,3,1,1,17,Narsingi,258.12
2555,5,5,2,0,2,19,Gachibowli,256.03
3050,5,4,2,1,2,12,Miyapur,202.31
1969,5,5,1,1,1,7,Miyapur,152.74
2586,4,4,1,1,1,8,Kukatpally,219.39
2134,4,4,0,1,2,15,Secunderabad,135.06
746,2,2,2,1,1,18,Kukatpally,58.05
2334,5,4,1,0,2,15,Gachibowli,250.52
2443,5,5,2,1,1,6,Banjara Hills,338.44
1088,1,1,3,1,2,13,Begumpet,90.72
2559,4,3,2,0,2,13,Kukatpally,161.65
2263,4,4,0,1,3,24,Hitech City,224.45
3198,5,5,1,1,1,3,Manikonda,189.9
2985,5,5,0,1,2,14,Kondapur,245.9
1240,2,2,2,1,2,2,Secunderabad,75.55
2402,5,4,2,1,1,4,LB Nagar,108.92
3120,5,4,3,1,1,0,Madhapur,316.89
2569,5,5,1,0,0,2,Kondapur,260.52
2798,4,4,3,1,2,14,Kondapur,261.92
2038,4,4,2,0,2,23,Madhapur,211.02
2234,4,3,1,1,0,7,Kukatpally,176.83
862,2,1,2,1,2,3,Gachibowli,97.45
2387,4,4,1,1,1,1,Madhapur,280.74
2791,5,5,1,1,0,23,Begumpet,222.62
2993,5,5,2,1,3,23,Begumpet,272.61
1223,1,1,1,1,3,9,Jubilee Hills,172.83
1616,4,3,2,1,1,3,Nanakramguda,155.07
1480,2,2,2,0,1,2,Banjara Hills,201.46
2649,5,5,1,1,2,1,Manikonda,163.59
1927,4,4,1,1,1,24,Narsingi,163.5
2901,5,5,1,1,1,16,Kukatpally,187.59
1052,3,3,1,0,1,22,Secunderabad,47.78
1783,3,3,1,0,1,20,LB Nagar,88.16
2656,5,4,1,0,2,23,Banjara Hills,309.32
2282,4,5,0,0,1,19,Madhapur,261.13
3463,5,5,1,1,2,22,Nanakramguda,278.95
2855,5,5,0,1,3,12,Narsingi,215.64
1754,4,4,2,1,1,4,Secunderabad,86.24
1003,1,1,2,0,2,20,Manikonda,65.87
2799,5,4,1,1,2,8,Uppal,132.03
2701,4,5,1,0,1,24,Manikonda,169.23
2296,5,4,3,0,1,24,Kukatpally,143.32
1227,3,3,2,1,2,21,Madhapur,111.85
1186,2,1,3,1,2,5,Uppal,68.19
2248,4,3,2,1,2,4,Banjara Hills,286.22
2043,5,5,0,1,1,24,Gachibowli,209.52
2045,3,3,0,1,3,9,Banjara Hills,275.73
703,1,1,1,1,0,7,Banjara Hills,98.3
853,2,2,0,1,0,6,Manikonda,63.3
3157,5,5,1,1,2,6,Gachibowli,321.19
2096,4,3,1,0,1,5,Gachibowli,189.26
698,2,3,1,1,1,20,Kukatpally,52.97
2800,5,5,2,0,1,19,Secunderabad,145.84
2484,5,5,2,1,1,2,Narsingi,190.69
2519,4,5,1,1,0,18,Miyapur,144.03
1477,3,2,2,1,3,21,Kondapur,149.17
937,2,1,1,1,1,14,Secunderabad,46.39
3469,5,5,2,1,2,3,Kondapur,311.07
1556,3,2,0,0,2,11,Manikonda,96.85
2304,4,4,3,0,3,5,Miyapur,125.1
760,2,3,2,1,0,18,Narsingi,51.43
2203,4,4,1,1,2,3,Miyapur,115.12
3448,5,4,0,0,1,14,Kukatpally,194.73
997,2,2,1,1,2,8,Banjara Hills,136.53
1900,4,5,0,1,2,4,Manikonda,152.24
1415,3,2,0,1,2,12,Gachibowli,130.38
2127,4,3,2,1,1,22,Begumpet,179.41
2519,5,5,1,1,2,17,Manikonda,173.3
2015,3,3,2,1,1,4,Kondapur,172.48
1758,3,3,3,1,2,24,Uppal,88.35
1818,4,5,1,0,3,15,Narsingi,168.21
1000,1,2,1,1,1,18,LB Nagar,51.44
1239,3,3,0,0,3,13,Miyapur,69.41
3335,5,5,2,1,1,24,Narsingi,214.36
1059,2,3,1,1,0,15,Secunderabad,43.15
1554,3,3,3,1,0,14,LB Nagar,82.68
1069,1,1,2,1,1,21,Kukatpally,84.2
1645,2,3,1,0,2,3,Manikonda,98.1
3397,5,5,0,0,0,6,Secunderabad,134.19
2293,5,5,2,1,0,15,Uppal,108.61
2685,4,4,2,1,3,23,Madhapur,283.46
2877,5,4,0,0,2,21,LB Nagar,117.69
1162,2,3,1,1,2,20,Manikonda,67.16
3085,5,5,2,1,2,21,Secunderabad,154.74
2399,5,4,0,1,2,20,Gachibowli,234.72
2674,5,5,3,0,1,7,Manikonda,149.15
825,2,1,1,1,1,16,Nanakramguda,73.75
1397,3,2,0,1,2,15,Kukatpally,91.36
2931,5,4,2,1,1,22,Hitech City,293.04
1559,3,3,1,1,2,9,Kukatpally,100.08
2104,4,5,1,1,0,9,Miyapur,134.39
1052,2,1,0,0,1,1,Begumpet,85.8
1415,3,4,0,1,2,8,Hitech City,139.6
1258,2,2,2,1,2,16,Uppal,67.92
1146,2,1,1,0,2,10,Miyapur,69.9
1815,2,2,1,1,2,9,Miyapur,89.8
616,1,1,2,0,0,21,Gachibowli,57.08
1843,4,4,2,0,1,24,Uppal,81.36
2805,5,5,0,1,2,16,Gachibowli,264.71
3124,5,5,1,1,2,3,Uppal,192.63
1669,3,3,3,1,1,15,Jubilee Hills,231.22
3165,5,5,2,1,2,19,Banjara Hills,400.1
2746,5,5,1,1,1,14,Kondapur,236.06
2368,5,4,1,0,1,24,Uppal,105.66
1660,4,3,1,1,1,20,Banjara Hills,215.17
2927,5,4,2,1,2,4,Banjara Hills,352.39
3144,5,5,2,1,2,5,LB Nagar,181.0
901,1,2,2,1,1,16,Begumpet,72.07
780,1,1,2,1,2,0,Kondapur,77.19
1206,1,2,2,1,1,24,Madhapur,133.57
1299,2,3,0,1,1,18,Hitech City,134.75
1592,3,4,1,1,1,3,Narsingi,126.39
1739,3,2,0,1,1,16,Banjara Hills,218.45
790,2,2,0,0,0,8,Begumpet,69.24
2900,5,5,2,0,2,23,Jubilee Hills,394.33
1580,2,3,1,1,2,1,Uppal,86.91
2606,5,4,1,0,2,7,Manikonda,145.22
1784,3,2,0,1,1,14,Manikonda,114.65
727,2,2,1,1,0,6,LB Nagar,37.21
2665,5,4,0,1,1,5,Miyapur,167.39
2416,4,3,0,1,1,0,LB Nagar,147.42
2358,4,3,2,1,2,14,Kondapur,189.11
3213,5,5,1,1,1,22,Miyapur,194.23
1169,2,3,2,0,2,6,LB Nagar,58.29
1946,3,3,0,1,2,24,Uppal,89.03
2495,5,5,0,1,1,16,Begumpet,189.69
3333,5,5,1,1,2,1,Nanakramguda,308.29
1225,3,4,1,1,2,8,Nanakramguda,117.02
2286,4,4,2,1,2,8,Jubilee Hills,338.69
754,2,1,1,1,1,12,Secunderabad,40.12
3137,5,5,1,1,1,5,Narsingi,271.57
2009,3,2,2,0,1,5,LB Nagar,108.49
1384,3,3,0,1,1,19,Gachibowli,136.16
845,2,1,1,0,1,19,Uppal,41.62
2100,4,4,2,0,2,20,Gachibowli,197.79
2305,4,4,2,0,1,2,Kondapur,218.69
3406,5,5,1,1,3,16,Kondapur,313.98
1137,2,2,3,1,2,16,Banjara Hills,141.66
2490,5,5,2,1,1,11,Nanakramguda,212.9
2441,4,5,1,1,1,15,LB Nagar,118.51
1520,3,3,2,1,2,14,Banjara Hills,181.8
3055,5,4,1,0,2,12,Gachibowli,303.29
1124,2,2,1,1,2,22,Secunderabad,57.04
3475,5,5,1,1,1,0,Hitech City,402.82
2129,4,4,1,1,1,16,Hitech City,243.86
635,1,1,2,1,1,2,Kondapur,69.1
1284,3,4,1,0,1,14,Secunderabad,74.02
619,1,1,2,1,2,3,Miyapur,42.17
2968,5,5,2,1,2,3,Gachibowli,294.89
3159,5,4,0,1,2,17,Hitech City,347.63
999,2,1,2,0,2,16,Secunderabad,59.38
3301,5,5,1,1,2,18,LB Nagar,113.28
1571,2,2,1,1,1,10,Secunderabad,87.71
2506,5,5,2,0,1,19,Gachibowli,265.65
3118,5,5,0,1,3,2,Kukatpally,214.21
1766,3,2,1,1,1,7,Secunderabad,89.87
1715,3,3,0,1,3,13,Secunderabad,87.41
1433,2,2,0,1,2,0,Manikonda,81.13
2423,4,3,1,1,1,13,Nanakramguda,213.57
3374,5,4,1,1,2,1,Banjara Hills,425.16
2582,5,4,3,1,2,22,Gachibowli,251.72
1453,2,3,1,0,2,3,Manikonda,100.39
650,1,1,1,1,3,23,Secunderabad,32.14
1174,1,1,1,1,3,18,Kukatpally,79.66
1748,4,5,0,1,1,5,Banjara Hills,229.62
2797,5,5,3,1,1,24,Gachibowli,255.66
2961,5,5,2,0,3,0,Kondapur,296.95
3217,5,4,2,1,2,16,Manikonda,198.57
2952,5,5,0,1,1,7,Banjara Hills,353.96
2315,5,5,1,1,0,18,Gachibowli,230.17
1281,3,3,1,1,2,20,Manikonda,80.04
1437,2,2,2,1,3,0,Kukatpally,113.42
1677,1,1,0,0,2,4,Gachibowli,159.16
3091,5,5,1,1,2,15,Gachibowli,271.26
3260,5,5,3,0,1,5,Uppal,178.12
2911,5,4,1,0,1,7,Gachibowli,292.34
2195,4,5,1,1,2,12,Jubilee Hills,289.74
604,1,1,0,0,1,15,Narsingi,46.53
1726,4,4,3,1,1,2,Jubilee Hills,259.74
1819,3,4,0,1,1,18,Secunderabad,82.41
1373,3,4,2,1,2,11,Kondapur,128.69
1476,3,3,2,1,3,15,LB Nagar,73.7
1591,2,2,0,1,1,10,Secunderabad,75.03
646,1,1,2,0,1,9,Kukatpally,49.1
3470,5,4,0,1,2,24,Jubilee Hills,462.67
3303,5,5,1,1,3,19,Banjara Hills,371.61
868,2,3,2,1,1,3,Begumpet,76.03
969,2,3,2,1,1,11,Narsingi,84.66
1235,1,2,2,1,1,22,Miyapur,76.99
1729,3,4,1,1,2,1,Begumpet,159.99
2293,5,5,0,1,1,23,Narsingi,158.66
2282,5,5,0,1,1,21,Nanakramguda,190.17
1256,3,3,0,1,2,18,Nanakramguda,117.43
719,1,2,0,0,2,24,Gachibowli,68.65
1430,3,2,1,0,0,4,Secunderabad,63.88
2410,4,5,1,0,2,7,Narsingi,197.7
1681,3,3,1,1,1,6,Miyapur,113.72
2574,5,4,0,1,2,13,Narsingi,201.5
1969,3,3,1,1,1,23,Kondapur,160.31
1340,3,3,2,1,2,22,Begumpet,106.66
716,2,1,1,0,1,2,Kondapur,62.38
2453,5,5,3,1,2,17,Miyapur,164.12
3438,5,5,2,1,2,15,Narsingi,236.78
1750,3,4,0,1,2,22,Manikonda,134.86
2531,5,5,2,1,2,18,Uppal,162.93
1612,3,3,1,1,2,18,Secunderabad,75.0
2264,4,4,1,1,0,17,Kondapur,195.81
1681,3,3,1,1,1,19,Kondapur,159.6
1233,2,3,1,0,3,15,Hitech City,119.1
1112,2,2,1,1,1,7,Narsingi,82.2
3449,5,4,1,0,2,0,Secunderabad,178.46
1719,3,4,2,1,3,16,LB Nagar,107.5
1741,4,5,2,0,0,11,Kondapur,168.95
1159,2,2,1,1,2,20,Jubilee Hills,157.29
1087,2,2,2,0,1,10,Kukatpally,71.8
1496,3,4,0,1,2,4,Uppal,93.83
1812,3,2,0,1,1,11,Uppal,85.7
1303,2,3,2,0,0,16,Narsingi,93.45
2070,4,4,1,0,2,5,Nanakramguda,179.57
1180,2,1,0,1,2,0,Hitech City,120.62
3437,5,5,0,1,2,4,Kondapur,301.3
2894,5,4,0,0,2,24,Hitech City,287.39
753,1,1,3,1,1,13,Nanakramguda,68.19
2279,4,4,1,0,2,4,Miyapur,128.32
1596,4,4,3,1,1,21,Miyapur,89.77
3344,5,5,1,1,3,23,Begumpet,251.66
1843,3,3,1,1,2,0,LB Nagar,115.09
1692,3,3,1,1,2,17,Narsingi,134.35
1608,3,3,2,0,3,15,Nanakramguda,141.47
2741,5,5,0,1,0,8,Madhapur,290.55
2373,5,5,2,0,2,18,LB Nagar,106.65
1557,3,3,2,1,1,21,Begumpet,97.12
1052,2,2,1,1,3,4,Madhapur,115.88
1827,4,4,3,1,1,1,Narsingi,150.66
2865,5,4,2,0,2,14,Gachibowli,245.79
3121,5,5,2,0,2,6,Secunderabad,181.41
3079,5,4,0,1,0,3,Hitech City,332.26
2988,5,5,1,1,1,0,Hitech City,341.81
1150,1,1,1,0,2,12,Secunderabad,56.65
2235,4,3,0,1,1,19,Secunderabad,131.96
1912,4,4,0,0,1,21,Miyapur,103.15
2357,4,4,2,1,1,6,LB Nagar,136.15
956,1,1,0,1,1,14,Madhapur,104.17
2670,5,4,1,1,2,22,Secunderabad,112.77
2385,4,3,3,0,2,13,Jubilee Hills,316.29
3169,5,5,2,1,0,22,Banjara Hills,387.15
2381,4,5,1,0,1,18,Secunderabad,114.71
3449,5,5,2,1,1,21,Kondapur,301.3
3409,5,5,0,0,1,23,Kondapur,328.32
3089,5,5,0,1,1,19,Kondapur,270.76
2231,5,5,2,1,1,23,Miyapur,104.92
3416,5,5,1,1,1,17,Uppal,144.7
1615,4,4,1,1,2,9,Nanakramguda,175.11
1948,4,4,1,1,1,8,Jubilee Hills,272.6
1115,2,2,0,1,2,24,Manikonda,57.14
3439,5,5,0,1,2,7,Uppal,134.8
935,2,1,1,1,2,9,Madhapur,96.72
2382,4,4,2,1,2,16,Jubilee Hills,324.2
2905,5,5,2,1,2,1,Begumpet,273.43
1096,2,3,1,1,2,5,Madhapur,126.47
1495,3,4,1,1,2,4,Jubilee Hills,215.42
2807,5,4,0,0,2,8,Banjara Hills,338.06
1451,3,2,0,0,2,4,LB Nagar,77.71
2287,4,4,2,0,2,17,Jubilee Hills,284.64
2531,4,5,1,1,1,19,Jubilee Hills,378.45
3337,5,4,0,0,1,8,Uppal,183.36
3027,5,5,2,1,1,16,Jubilee Hills,432.06
